number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary,total_scaled,type1_encoded
1,Bulbasaur,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,1,False,-1.0128814624005578,11.0
2,Ivysaur,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,1,False,-0.29578417691153364,11.0
3,Venusaur,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,1,False,0.6933155272112583,11.0
3,Mega Venusaur,Grass,Poison,625.0,80.0,100.0,123.0,122.0,120.0,80.0,1,False,1.5175652806469182,11.0
3,Gigantamax Venusaur,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,1,False,0.6933155272112583,11.0
4,Charmander,Fire,Flying,309.0,39.0,52.0,43.0,60.0,50.0,65.0,1,False,-1.087063940209767,7.0
5,Charmeleon,Fire,Flying,405.0,58.0,64.0,58.0,80.0,65.0,80.0,1,False,-0.29578417691153364,7.0
6,Charizard,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,1,False,0.7674980050204677,7.0
6,Mega Charizard X,Fire,Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0,1,False,1.5917477584561277,7.0
6,Mega Charizard Y,Fire,Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0,1,False,1.5917477584561277,7.0
6,Gigantamax Charizard,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,1,False,0.7674980050204677,7.0
7,Squirtle,Water,Flying,314.0,44.0,48.0,65.0,50.0,64.0,43.0,1,False,-1.045851452537984,19.0
8,Wartortle,Water,Flying,405.0,59.0,63.0,80.0,65.0,80.0,58.0,1,False,-0.29578417691153364,19.0
9,Blastoise,Water,Flying,530.0,79.0,83.0,100.0,85.0,105.0,78.0,1,False,0.7345280148830413,19.0
9,Mega Blastoise,Water,Flying,630.0,79.0,103.0,120.0,135.0,115.0,78.0,1,False,1.5587777683187012,19.0
9,Gigantamax Blasoise,Blastoise,Water,530.0,79.0,83.0,100.0,85.0,105.0,78.0,1,False,0.7345280148830413,0.0
10,Caterpie,Bug,Flying,195.0,45.0,30.0,35.0,20.0,20.0,45.0,1,False,-2.0267086591264194,1.0
11,Metapod,Bug,Flying,205.0,50.0,20.0,55.0,25.0,25.0,30.0,1,False,-1.9442836837828534,1.0
12,Butterfree,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,1,False,-0.3782091522550996,1.0
12,Gigantamax Butterfree,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,1,False,-0.3782091522550996,1.0
13,Weedle,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,1,False,-2.0267086591264194,1.0
14,Kakuna,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,1,False,-1.9442836837828534,1.0
15,Beedrill,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,1,False,-0.3782091522550996,1.0
15,Mega Beedrill,Bug,Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0,1,False,0.4460406011805603,1.0
16,Pidgey,Normal,Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0,1,False,-1.56512879720245,14.0
17,Pidgeotto,Normal,Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0,1,False,-0.7573640388355032,14.0
18,Pidgeot,Normal,Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0,1,False,0.31416064063085475,14.0
18,Mega Pidgeot,Normal,Flying,579.0,83.0,80.0,80.0,135.0,80.0,121.0,1,False,1.1384103940665147,14.0
19,Rattata,Normal,Flying,253.0,30.0,56.0,35.0,25.0,35.0,72.0,1,False,-1.5486438021337368,14.0
19,Alolan Rattata,Dark,Normal,253.0,30.0,56.0,35.0,25.0,35.0,72.0,7,False,-1.5486438021337368,2.0
20,Raticate,Normal,Flying,413.0,55.0,81.0,60.0,50.0,70.0,97.0,1,False,-0.22984419663668082,14.0
20,Alolan Raticate,Dark,Normal,413.0,75.0,71.0,70.0,40.0,80.0,77.0,7,False,-0.22984419663668082,2.0
21,Spearow,Normal,Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0,1,False,-1.4744613243245273,14.0
22,Fearow,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,1,False,0.009188231859660568,14.0
23,Ekans,Poison,Flying,288.0,35.0,60.0,44.0,40.0,54.0,55.0,1,False,-1.2601563884312557,15.0
24,Arbok,Poison,Flying,438.0,60.0,85.0,69.0,65.0,79.0,80.0,1,False,-0.02378175827776583,15.0
25,Pikachu,Electric,Flying,320.0,35.0,55.0,40.0,50.0,50.0,90.0,1,False,-0.9963964673318446,4.0
25,Gigantamax Pikachu,Electric,Flying,320.0,35.0,55.0,40.0,50.0,50.0,90.0,1,False,-0.9963964673318446,4.0
26,Raichu,Electric,Flying,485.0,60.0,90.0,55.0,90.0,80.0,110.0,1,False,0.36361562583699436,4.0
26,Alolan Raichu,Electric,Psychic,485.0,60.0,85.0,50.0,95.0,85.0,110.0,7,False,0.36361562583699436,4.0
27,Sandshrew,Ground,Flying,300.0,50.0,75.0,85.0,20.0,30.0,40.0,1,False,-1.1612464180189765,12.0
27,Alolan Sandshrew,Ice,Steel,300.0,50.0,75.0,90.0,10.0,35.0,40.0,7,False,-1.1612464180189765,13.0
28,Sandslash,Ground,Flying,450.0,75.0,100.0,110.0,45.0,55.0,65.0,1,False,0.07512821213451336,12.0
28,Alolan Sandslash,Ice,Steel,450.0,75.0,100.0,120.0,25.0,65.0,65.0,7,False,0.07512821213451336,13.0
29,Nidoran♀,Poison,Flying,275.0,55.0,47.0,52.0,40.0,40.0,41.0,1,False,-1.3673088563778915,15.0
30,Nidorina,Poison,Flying,365.0,70.0,62.0,67.0,55.0,55.0,56.0,1,False,-0.6254840782857976,15.0
31,Nidoqueen,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,1,False,0.5284655765241263,15.0
32,Nidoran♂,Poison,Flying,273.0,46.0,57.0,40.0,40.0,40.0,50.0,1,False,-1.3837938514466048,15.0
33,Nidorino,Poison,Flying,365.0,61.0,72.0,57.0,55.0,55.0,65.0,1,False,-0.6254840782857976,15.0
34,Nidoking,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,1,False,0.5284655765241263,15.0
35,Clefairy,Fairy,Flying,323.0,70.0,45.0,48.0,60.0,65.0,35.0,1,False,-0.9716689747287748,5.0
36,Clefable,Fairy,Flying,483.0,95.0,70.0,73.0,95.0,90.0,60.0,1,False,0.34713063076828116,5.0
37,Vulpix,Fire,Flying,299.0,38.0,41.0,40.0,50.0,65.0,65.0,1,False,-1.1694889155533332,7.0
37,Alolan Vulpix,Ice,Flying,299.0,38.0,41.0,40.0,50.0,65.0,65.0,7,False,-1.1694889155533332,13.0
38,Ninetales,Fire,Flying,505.0,73.0,76.0,75.0,81.0,100.0,100.0,1,False,0.5284655765241263,7.0
38,Alolan Ninetales,Ice,Fairy,505.0,73.0,67.0,75.0,81.0,100.0,109.0,7,False,0.5284655765241263,13.0
39,Jigglypuff,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,1,False,-1.4085213440496744,14.0
40,Wigglytuff,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,1,False,-0.04850925088083563,14.0
41,Zubat,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,1,False,-1.6145837824085896,15.0
42,Golbat,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,1,False,0.11634069980629635,15.0
43,Oddish,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,1,False,-0.9963964673318446,11.0
44,Gloom,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,1,False,-0.3782091522550996,11.0
45,Vileplume,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,1,False,0.40482811350877734,11.0
46,Paras,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,1,False,-1.2848838810343255,1.0
47,Parasect,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,1,False,-0.29578417691153364,1.0
48,Venonat,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,1,False,-1.1200339303471936,1.0
49,Venomoth,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,1,False,0.07512821213451336,1.0
50,Diglett,Ground,Flying,265.0,10.0,55.0,25.0,35.0,45.0,95.0,1,False,-1.4497338317214574,12.0
50,Alolan Diglett,Ground,Steel,265.0,10.0,55.0,30.0,35.0,45.0,90.0,7,False,-1.4497338317214574,12.0
51,Dugtrio,Ground,Flying,405.0,35.0,80.0,50.0,50.0,70.0,120.0,1,False,-0.29578417691153364,12.0
51,Alolan Dugtrio,Ground,Steel,425.0,35.0,100.0,60.0,50.0,70.0,110.0,7,False,-0.13093422622440162,12.0
52,Meowth,Normal,Flying,290.0,40.0,45.0,35.0,40.0,40.0,90.0,1,False,-1.2436713933625425,14.0
53,Gigantamax Meowth,Normal,Flying,290.0,40.0,45.0,35.0,40.0,40.0,90.0,1,False,-1.2436713933625425,14.0
52,Alolan Meowth,Dark,Flying,290.0,40.0,35.0,35.0,50.0,40.0,90.0,7,False,-1.2436713933625425,2.0
52,Galarian Meowth,Steel,Flying,290.0,50.0,65.0,55.0,40.0,40.0,40.0,8,False,-1.2436713933625425,18.0
